PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME
COC1=C(C=C(C=C1)C2=C(NC(=C2C(=O)C3=CC=C(C=C3)Br)N)C(=O)C4=CC=CC=C4)OC,Active
COC1=C(C=C(C=C1)C2=C(NC(=C2C(=O)C3=CC=CC=C3)N)C(=O)C4=CC=CC=C4)OC,Active
C1CN(CCN1)C(=O)C2=C(SC(=C2)C3=CC=CC=C3)N,Active
C1=CC=C(C=C1)C(=O)C2=C(C(=C(N2)N)C(=O)N)C3=CC=CC=C3Br,Active
CC1=C(C(=O)OC(C1)[C@@H](C)C2CC[C@@H]3[C@@]2(CCC4C3C[C@@H]5[C@]6([C@@]4(C(=O)C=C[C@@H]6O)C)O5)C)CO,Active
CC1CCC/C=C/C(=O)C2=C(CC(=O)O1)C=C(C=C2O)O,Active
CC1C2C(NC(=O)C23C(/C=C(/CCC(C(/C=C/C3=O)O)O)\C)C=C1C)CC(C)C,Active
C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4C(C(C(C(O4)CO)O)O)O)O)O,Active
C[C@H]\1C/C=C/[C@H]2[C@H]3[C@](O3)([C@H]([C@@H]4[C@@]2(C(=O)/C=C/C(=O)[C@@H](/C(=C1)/C)O)C(=O)N[C@H]4CC5=CNC6=CC=CC=C65)C)C,Active
CC1(C2CCC1(C(C2)OC(=O)/C=C/C3=CC(=C(C=C3)O)OC)C)C,Active
CC1=CC(=CC(=C1)CC2CC(=O)N(C2=O)C3=C(C=CC(=C3)OC)OC)C,Active
CC1=CC2=C(C=C1)NC(=O)C(=C2)CN(CCCO)S(=O)(=O)C3=CC=CC4=NSN=C43,Active
C1=CC=C(C(=C1)NC2=C(C3=NON=C3C(=C2)Cl)[N+](=O)[O-])O,Active
C1COCCN1C2=NC(=NC(=N2)N/N=C/C3=C(C(=CC=C3)[N+](=O)[O-])O)NCC4=CC=CC=C4,Active
C1=CC2=C(C=CC(=C2N=C1)OC(=O)C3=CC=CO3)Cl,Active
COC1=C(C=C(C=C1)/C(=C/2\C(N(C(=O)C2=O)CC3=CN=CC=C3)C4=CC=NC=C4)/O)F,Active
CC1=CC(=NC(=N1)C2=CC=CC=C2O)N/N=C/C3=CC=CC=C3O,Active
C1=CC(=CC(=C1)O)NC2=C(C3=NON=C3C(=C2)Cl)[N+](=O)[O-],Active
CCN(CC)CC.CN1C(=O)/C(=C\2/C=CC3=CC=CC=C3N2CCCS(=O)(=O)O)/SC1=S,Active
CC1=CC=C(C=C1)CN2CCC(CC2)C(=O)C3=CC=C(C=C3)F,Active
COC1=CC=C(C=C1)CN2CCC(CC2)C(=O)C3=CC=C(C=C3)F,Active
CC1=CC=C(C=C1)C(=O)NNC(=O)CSC2=NN=C(N2C)COC3=CC=C(C=C3)OC,Active
CCNC(=S)NC1CC2CCCC(C1)N2CC3=CC=C(C=C3)C,Active
C1CC2CC(CC1N2CC3=CC=CC=C3)NC(=O)C4=CC(=CC=C4)F,Active
C1=CC=C(C=C1)OC2=C3C4=C(C5=CC=CC=C5C3=O)ON=C4C=C2,Active
CC1=CC=C(C=C1)CN2C3CCCC2CC(C3)NC(=S)NC,Active
CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,Active
COC1=CC(=C(C=C1)C(=O)/C=C/C(=O)N(CC2=CC=CC=C2)CC(=O)NC3CCCCC3)O,Active
CCN1C2=CC=CC=C2C(=C(C1=O)[N+](=O)[O-])Cl,Active
C1CN(CCC1C(=O)C2=CC=C(C=C2)Cl)CC3=CC=CC=C3,Active
CC1=CC=C(C=C1)CN2C3CCCC2CC(C3)NC(=O)C,Active
