Compiling models...
Starting GA...
[1;32mWrote molecules to file[0m
         11222460 function calls (10852263 primitive calls) in 73.218 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      208   50.639    0.243   50.639    0.243 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
     4998    4.712    0.001    4.727    0.001 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
      642    0.935    0.001    0.940    0.001 file_io.py:104(read)
       88    0.335    0.004    0.335    0.004 inverse_qsar_cli.py:153(get_pains)
  205/186    0.318    0.002    0.501    0.003 {built-in method _imp.create_dynamic}
     8856    0.297    0.000    0.297    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_FinishOperation}
    16886    0.289    0.000    0.289    0.000 {built-in method posix.stat}
     3156    0.275    0.000    0.275    0.000 {built-in method marshal.loads}
1039629/1039595    0.241    0.000    0.687    0.000 {built-in method builtins.isinstance}
  254/180    0.207    0.001   69.122    0.384 traceback_utils.py:59(error_handler)
     8856    0.186    0.000    1.319    0.000 ops.py:1906(_create_c_op)
      440    0.157    0.000    0.161    0.000 smienumeration.py:160(randomize_smiles)
    95952    0.151    0.000    0.176    0.000 contextlib.py:102(__init__)
     8856    0.150    0.000    0.249    0.000 ops.py:1879(_NodeDef)
397281/396147    0.146    0.000    0.367    0.000 {built-in method builtins.getattr}
     8856    0.143    0.000    0.143    0.000 {built-in method tensorflow.python.util._tf_stack.extract_stack_for_op}
     4618    0.137    0.000    1.220    0.000 op_def_library.py:410(_ExtractInputsAndAttrs)
    82080    0.136    0.000    0.232    0.000 dtypes.py:719(as_dtype)
     4618    0.136    0.000    4.762    0.001 op_def_library.py:751(_apply_op_helper)
     1506    0.133    0.000    0.134    0.000 string_crossover.py:101(string2mol)
     8856    0.133    0.000    2.394    0.000 ops.py:1996(__init__)
     5046    0.131    0.000    0.158    0.000 tensor_shape.py:1362(as_proto)
    11454    0.127    0.000    0.163    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationGetAttrValueProto}
222112/72864    0.127    0.000    0.227    0.000 options.py:586(__getattribute__)
    10996    0.121    0.000    0.121    0.000 {method 'ParseFromString' of 'google.protobuf.pyext._message.CMessage' objects}
95952/78252    0.114    0.000    0.341    0.000 contextlib.py:139(__exit__)
     8856    0.113    0.000    0.626    0.000 ops.py:2138(_init_from_c_op)
187064/149010    0.111    0.000    0.899    0.000 {built-in method builtins.next}
     2024    0.111    0.000    0.120    0.000 constant_op.py:74(convert_to_eager_tensor)
   159112    0.110    0.000    0.110    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationOpType}
     2730    0.109    0.000    0.344    0.000 tensor_util.py:357(make_tensor_proto)
    12748    0.106    0.000    0.146    0.000 typing.py:1408(_get_protocol_attrs)
     8856    0.103    0.000    3.284    0.000 ops.py:3739(_create_op_internal)
     7291    0.103    0.000    0.259    0.000 inspect.py:2276(_signature_from_function)
345989/345979    0.103    0.000    0.117    0.000 {built-in method builtins.hasattr}
   123931    0.093    0.000    0.177    0.000 {built-in method _abc._abc_instancecheck}
    30652    0.093    0.000    0.107    0.000 {built-in method tensorflow.python.util._pywrap_utils.Flatten}
    89936    0.091    0.000    0.193    0.000 options.py:99(get_fn)
18540/9616    0.087    0.000    0.090    0.000 {built-in method _abc._abc_subclasscheck}
    17712    0.086    0.000    0.086    0.000 {method 'ByteSize' of 'google.protobuf.pyext._message.CMessage' objects}
    22446    0.084    0.000    0.084    0.000 {method 'SerializeToString' of 'google.protobuf.pyext._message.CMessage' objects}
    17638    0.084    0.000    0.084    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_SetAttrValueProto}
