Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)(O)c1ccc(cc1)Cl,C21H23ClFNO2,375.86,26,12,0.38,6,4,1,105.48,40.54,3.61,4.30,4.36,3.59,5.24,4.22,-4.82,5.63e-03,1.50e-05,Moderately soluble,-4.86,5.13e-03,1.37e-05,Moderately soluble,-7.05,3.33e-05,8.87e-08,Poorly soluble,High,Yes,No,Yes,Yes,No,Yes,Yes,-5.54,0,0,0,0,0,0.55,0,0,2,2.39
Molecule 2,O=C1Nc2c(C1)cc(c(c2)Cl)CCN1CCN(CC1)c1nsc2c1cccc2,C21H21ClN4OS,412.94,28,15,0.33,4,3,1,125.48,76.71,3.50,4.02,2.48,3.00,4.85,3.57,-5.07,3.55e-03,8.61e-06,Moderately soluble,-5.33,1.92e-03,4.64e-06,Moderately soluble,-7.10,3.31e-05,8.02e-08,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-5.96,0,0,0,0,0,0.55,0,0,2,3.17
Molecule 3,O=C1CCc2c(N1)cc(cc2)OCCCCN1CCN(CC1)c1cccc(c1Cl)Cl,C23H27Cl2N3O2,448.39,30,12,0.43,7,3,1,133.26,44.81,4.28,4.64,3.53,3.65,4.96,4.21,-5.38,1.88e-03,4.20e-06,Moderately soluble,-5.31,2.21e-03,4.93e-06,Moderately soluble,-7.93,5.21e-06,1.16e-08,Poorly soluble,High,Yes,Yes,No,Yes,No,Yes,No,-5.74,0,1,0,0,0,0.55,0,0,2,3.15
Molecule 4,Fc1ccc2c(c1)onc2C1CCN(CC1)CCc1c(C)nc2n(c1=O)CCCC2O,C23H27FN4O3,426.48,31,15,0.52,4,7,1,118.87,84.39,3.86,2.17,2.80,2.39,3.58,2.96,-3.95,4.84e-02,1.13e-04,Soluble,-3.58,1.13e-01,2.66e-04,Soluble,-5.94,4.90e-04,1.15e-06,Moderately soluble,High,No,Yes,No,No,No,Yes,Yes,-7.36,0,0,0,0,0,0.55,0,0,1,4.60
Molecule 5,Fc1ccc(cc1)C(c1ccc(cc1)F)CCCN1CCC(CC1)n1c(=O)[nH]c2c1cccc2,C28H29F2N3O,461.55,34,21,0.32,7,4,1,135.86,41.03,4.23,6.30,6.32,5.45,6.33,5.72,-6.67,9.97e-05,2.16e-07,Poorly soluble,-6.95,5.17e-05,1.12e-07,Poorly soluble,-9.21,2.88e-07,6.24e-10,Poorly soluble,High,No,Yes,No,Yes,No,Yes,No,-4.64,1,2,0,1,1,0.55,0,0,2,3.20
Molecule 6,O=C1N(C[C@@H]2CCCC[C@H]2CN2CCN(CC2)c2nsc3c2cccc3)C(=O)[C@@H]2[C@H]1[C@H]1CC[C@@H]2C1,C28H36N4O2S,492.68,35,9,0.68,5,4,0,151.55,84.99,4.46,5.35,3.11,3.72,4.05,4.14,-6.13,3.69e-04,7.49e-07,Poorly soluble,-6.89,6.38e-05,1.30e-07,Poorly soluble,-5.28,2.59e-03,5.26e-06,Moderately soluble,High,No,No,No,Yes,Yes,No,Yes,-5.51,0,3,0,0,1,0.55,0,1,2,5.16
Molecule 7,CN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F,C21H24F3N3S,407.50,28,12,0.43,5,5,0,118.10,35.02,3.91,5.03,4.96,4.21,4.27,4.47,-5.52,1.22e-03,3.00e-06,Moderately soluble,-5.51,1.27e-03,3.12e-06,Moderately soluble,-6.54,1.18e-04,2.89e-07,Poorly soluble,High,Yes,Yes,Yes,No,No,Yes,No,-5.21,1,0,0,0,1,0.55,0,0,2,3.47
Molecule 8,CN1CCN(CC1)CC/C=C\1/c2ccccc2Sc2c1cc(cc2)S(=O)(=O)N(C)C,C23H29N3O2S2,443.63,30,12,0.39,5,5,0,131.10,77.54,3.94,3.78,3.79,2.95,2.94,3.48,-4.94,5.12e-03,1.15e-05,Moderately soluble,-5.10,3.51e-03,7.91e-06,Moderately soluble,-6.22,2.65e-04,5.98e-07,Poorly soluble,High,Yes,No,No,Yes,Yes,Yes,Yes,-6.32,0,1,0,0,0,0.55,1,0,2,4.05
Molecule 9,OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2,C21H26ClN3OS,403.97,27,12,0.43,6,3,1,124.08,55.25,3.86,4.20,2.80,3.52,3.62,3.60,-4.92,4.82e-03,1.19e-05,Moderately soluble,-5.07,3.44e-03,8.52e-06,Moderately soluble,-6.12,3.07e-04,7.60e-07,Poorly soluble,High,Yes,Yes,Yes,No,No,Yes,No,-5.78,0,0,0,0,0,0.55,0,0,2,3.51
Molecule 10,Clc1ccc2c(c1)[C@H]1CN(C[C@@H]1c1c(O2)cccc1)C,C17H16ClNO,285.77,20,12,0.29,0,2,0,84.90,12.47,3.22,3.77,3.88,3.81,3.70,3.67,-4.43,1.06e-02,3.71e-05,Moderately soluble,-3.73,5.38e-02,1.88e-04,Soluble,-5.63,6.70e-04,2.34e-06,Moderately soluble,High,Yes,Yes,Yes,No,No,Yes,No,-5.37,0,0,0,0,0,0.55,0,0,1,3.45
